Issue Type,Epic,Summary,Description,Acceptance Criteria,Story Points,Labels,Dependencies,Parent
Story,Foundation,FND-01: Stand up stateless Spring Security with role- and tenant-aware principal,"As a backend engineer, I want authenticate every request and attach a principal carrying user ID, role, and consultant_id, so that every module can enforce the PRD §6 role matrix instead of the platform having zero authorization as it does today.

PRD reference(s): §5.1 (RULES.md); §6 Roles & Permissions Matrix
Module(s)/Screen(s): shared (cross-cutting security infra)
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Net-new cross-cutting infra (JWT filter chain, principal model) touching every future controller — highest-risk foundational piece.","- Given an unauthenticated request hits any non-public endpoint, when it is received, then the platform returns 401 rather than serving the request.
- Given a valid JWT is presented, when the request is processed, then the principal exposes userId, role (SUPER_ADMIN/CONSULTANT/USER), and consultant_id (null only for SUPER_ADMIN).",8,backend;foundation;security;phase1,,
Sub-task,Foundation,"FND-01 subtask: [NEW] Backend: `SecurityConfig` + JWT filter chain (stateless, no session)","[NEW] Backend: `SecurityConfig` + JWT filter chain (stateless, no session)",,,backend;foundation;security;phase1;subtask,,FND-01: Stand up stateless Spring Security with role- and tenant-aware principal
Sub-task,Foundation,FND-01 subtask: [NEW] Backend: `AdrenPrincipal` carrying userId/role/consultantId,[NEW] Backend: `AdrenPrincipal` carrying userId/role/consultantId,,,backend;foundation;security;phase1;subtask,,FND-01: Stand up stateless Spring Security with role- and tenant-aware principal
Sub-task,Foundation,"FND-01 subtask: [NEW] Backend: unit test (filter chain, token parsing, 401/403 paths)","[NEW] Backend: unit test (filter chain, token parsing, 401/403 paths)",,,backend;foundation;security;phase1;subtask,,FND-01: Stand up stateless Spring Security with role- and tenant-aware principal
Sub-task,Foundation,FND-01 subtask: [NEW] Backend: module test (principal available to a sample secured endpoint),[NEW] Backend: module test (principal available to a sample secured endpoint),,,backend;foundation;security;phase1;subtask,,FND-01: Stand up stateless Spring Security with role- and tenant-aware principal
Story,Foundation,FND-02: Enforce PRD §6 role matrix via method-level @PreAuthorize on module Api interfaces,"As a Super Admin, I want have role checks enforced on the Api interface itself, not just at the controller, so that every caller (a future scheduled job, another module, a controller) inherits the same authorization guarantee per RULES.md §5.1.

PRD reference(s): §5.1 (RULES.md); §6 Roles & Permissions Matrix
Module(s)/Screen(s): booking, supplier, shared
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Well-understood pattern (@PreAuthorize expressions) but must be threaded across every existing Api method.","- Given a USER principal calls a method reserved for CONSULTANT/SUPER_ADMIN (e.g. onboarding a Local DMC), when the call reaches the Api layer, then it is rejected with 403 regardless of which controller/listener invoked it.
- Given a capability is marked 'No (unless granted)' for USER in §6 (e.g. create package), when the per-Consultant grant flag is false, then the call is rejected; when the flag is true, it succeeds.",5,backend;foundation;security;phase1,FND-01,
Sub-task,Foundation,FND-02 subtask: [NEW] Backend: `@PreAuthorize` expressions on `BookingApi`/`SupplierSearchApi` methods,[NEW] Backend: `@PreAuthorize` expressions on `BookingApi`/`SupplierSearchApi` methods,,,backend;foundation;security;phase1;subtask,,FND-02: Enforce PRD §6 role matrix via method-level @PreAuthorize on module Api interfaces
Sub-task,Foundation,"FND-02 subtask: [NEW] Backend: per-Consultant capability-grant flag (data-driven, not a role switch) for 'unless granted' cases","[NEW] Backend: per-Consultant capability-grant flag (data-driven, not a role switch) for 'unless granted' cases",,,backend;foundation;security;phase1;subtask,,FND-02: Enforce PRD §6 role matrix via method-level @PreAuthorize on module Api interfaces
Sub-task,Foundation,FND-02 subtask: [NEW] Backend: unit test per role/capability combination,[NEW] Backend: unit test per role/capability combination,,,backend;foundation;security;phase1;subtask,,FND-02: Enforce PRD §6 role matrix via method-level @PreAuthorize on module Api interfaces
Sub-task,Foundation,FND-02 subtask: [NEW] Backend: module test asserting a listener/job path also gets the check,[NEW] Backend: module test asserting a listener/job path also gets the check,,,backend;foundation;security;phase1;subtask,,FND-02: Enforce PRD §6 role matrix via method-level @PreAuthorize on module Api interfaces
Story,Foundation,FND-03: Close tenant-isolation gap on itinerary/booking lookups,"As a Consultant, I want be certain another Consultant can never read or act on my itinerary even if they guess or observe its UUID, so that the platform is not exposed to Broken Object Level Authorization (OWASP API1:2023), which RULES.md §5.2 flags as the top realistic risk.

PRD reference(s): §5.2 (RULES.md); §22.6 BYOS (scoping pattern)
Module(s)/Screen(s): booking
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Security-critical fix scoped to existing BookingServiceImpl/ItineraryController call sites; well-bounded.","- Given Consultant B calls `saveAsQuotation` with an itinerary_id belonging to Consultant A, when the authenticated principal's consultant_id does not match the itinerary's owner, then the request is rejected, not silently executed.
- Given SUPER_ADMIN calls the same endpoint, when the 'view/act on all' exception path is used, then it succeeds via its own explicitly `@PreAuthorize`'d path, not the default.",5,backend;foundation;security;phase1,"FND-01, FND-02",
Sub-task,Foundation,"FND-03 subtask: [EXTEND] Backend: `BookingServiceImpl` methods re-fetch by (itineraryId, authenticated consultantId), never client-supplied consultantId alone","[EXTEND] Backend: `BookingServiceImpl` methods re-fetch by (itineraryId, authenticated consultantId), never client-supplied consultantId alone",,,backend;foundation;security;phase1;subtask,,FND-03: Close tenant-isolation gap on itinerary/booking lookups
Sub-task,Foundation,FND-03 subtask: [NEW] Backend: SUPER_ADMIN 'view all' explicit code path,[NEW] Backend: SUPER_ADMIN 'view all' explicit code path,,,backend;foundation;security;phase1;subtask,,FND-03: Close tenant-isolation gap on itinerary/booking lookups
Sub-task,Foundation,FND-03 subtask: [NEW] Backend: unit test — cross-tenant access attempt,[NEW] Backend: unit test — cross-tenant access attempt,,,backend;foundation;security;phase1;subtask,,FND-03: Close tenant-isolation gap on itinerary/booking lookups
Sub-task,Foundation,FND-03 subtask: [NEW] Backend: module test — cross-tenant access attempt end-to-end through the Api,[NEW] Backend: module test — cross-tenant access attempt end-to-end through the Api,,,backend;foundation;security;phase1;subtask,,FND-03: Close tenant-isolation gap on itinerary/booking lookups
Story,Foundation,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard,"As a Super Admin, I want onboard a new Consultant through a multi-step form whose required fields change based on the selected home market, so that each Consultant's KYC requirements match PRD §13.1's per-market table without hardcoding a conditional per market.

PRD reference(s): §13.1 Consultant Onboarding; §21.6 Super Admin Console; §24.7 (data-driven KYC)
Module(s)/Screen(s): whitelabel, Super Admin Console (21.6)
Testing tier(s): unit, module (@ApplicationModuleTest), component test, e2e
Story points reasoning: New entity + data-driven rules engine + multi-step wizard UI — the first schema-driven compliance surface in the platform.","- Given Super Admin selects 'USA' as home market, when the wizard renders, then EIN/business registration and state-level Seller of Travel fields appear, sourced from data, not a hardcoded conditional.
- Given Super Admin selects 'India', when the wizard renders, then GST registration, business PAN, and IATA/TAAI fields appear as mandatory.",8,backend;frontend;foundation;whitelabel;phase1,"FND-01, FND-02",
Sub-task,Foundation,"FND-04 subtask: [NEW] Backend: `Consultant` entity + `ConsultantRepository` (package-private, own Flyway migration)","[NEW] Backend: `Consultant` entity + `ConsultantRepository` (package-private, own Flyway migration)",,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,FND-04 subtask: [NEW] Backend: `onboardConsultant` on the module `ServiceImpl` + domain event publication (`@Transactional`),[NEW] Backend: `onboardConsultant` on the module `ServiceImpl` + domain event publication (`@Transactional`),,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,FND-04 subtask: [NEW] Backend: REST endpoint `POST /api/v1/consultants` (Controller depends on the module's `Api` interface only),[NEW] Backend: REST endpoint `POST /api/v1/consultants` (Controller depends on the module's `Api` interface only),,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,"FND-04 subtask: [NEW] Backend: unit test (service logic, mocked repository/publisher)","[NEW] Backend: unit test (service logic, mocked repository/publisher)",,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,FND-04 subtask: [NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),[NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,FND-04 subtask: [NEW] Frontend: `useConsultantOnboarding` hook (React Query for server data per RULES.md §7.1),[NEW] Frontend: `useConsultantOnboarding` hook (React Query for server data per RULES.md §7.1),,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,FND-04 subtask: [NEW] Frontend: `ConsultantOnboardingWizard.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),[NEW] Frontend: `ConsultantOnboardingWizard.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,"FND-04 subtask: [NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)","[NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)",,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
Sub-task,Foundation,"FND-04 subtask: [NEW] Backend: market→required-fields rule table (data-driven, per RULES.md §24.7)","[NEW] Backend: market→required-fields rule table (data-driven, per RULES.md §24.7)",,,backend;frontend;foundation;whitelabel;phase1;subtask,,FND-04: Super Admin onboards a Consultant via a market-driven KYC wizard
