Issue Type,Epic,Summary,Description,Acceptance Criteria,Story Points,Labels,Dependencies,Parent
Story,Supplier Live Integrations,SUP-01: Replace the Hotelbeds stub with a live sandbox integration,"As a backend engineer, I want have `HotelbedsClient` call Hotelbeds' real sandbox API using SHA-256-signed requests, so that PRD §10.2.1's full authentication, mapping, and error-handling spec is implemented against a real (sandbox) endpoint instead of the MVP mock.

PRD reference(s): §10.2.1 Hotelbeds
Module(s)/Screen(s): supplier
Testing tier(s): unit, integration (Testcontainers, sandbox)
Story points reasoning: Real external API replaces a stub — first live-credential integration, highest first-integration risk in this epic.","- Given a search is issued against Hotelbeds sandbox, when the request is signed, then `X-Signature` is computed as SHA-256(apiKey+secret+UTC timestamp) and IP whitelisting is satisfied per the sandbox account setup.
- Given Hotelbeds returns `RATE_STALE` at booking, when the response is handled, then the user sees 'This rate has expired — please re-search,' forcing a new search rather than a silent re-price.",8,backend;supplier;phase2,"FND-11, DMC-07",
Sub-task,Supplier Live Integrations,"SUP-01 subtask: [NEW] Backend: `internal.hotelbeds.HotelbedsClient` in its own sub-package (live, per backend-best-practices §6)","[NEW] Backend: `internal.hotelbeds.HotelbedsClient` in its own sub-package (live, per backend-best-practices §6)",,,backend;supplier;phase2;subtask,,SUP-01: Replace the Hotelbeds stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-01 subtask: [EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),[EXTEND] Backend: response mapping into normalized `SupplierSearchResult` shape (pattern from `HotelbedsClient`),,,backend;supplier;phase2;subtask,,SUP-01: Replace the Hotelbeds stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-01 subtask: [NEW] Backend: Hotelbeds-specific exception types + user-facing message mapping (PRD §10.2 table),[NEW] Backend: Hotelbeds-specific exception types + user-facing message mapping (PRD §10.2 table),,,backend;supplier;phase2;subtask,,SUP-01: Replace the Hotelbeds stub with a live sandbox integration
Sub-task,Supplier Live Integrations,"SUP-01 subtask: [EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier","[EXTEND] Backend: rate limiter + circuit breaker wiring, independently configured per supplier",,,backend;supplier;phase2;subtask,,SUP-01: Replace the Hotelbeds stub with a live sandbox integration
Sub-task,Supplier Live Integrations,SUP-01 subtask: [NEW] Backend: unit test (mapping + error handling),[NEW] Backend: unit test (mapping + error handling),,,backend;supplier;phase2;subtask,,SUP-01: Replace the Hotelbeds stub with a live sandbox integration
Sub-task,Supplier Live Integrations,"SUP-01 subtask: [NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out","[NEW] Backend: module/integration test, wired into `SupplierAggregationService` parallel fan-out",,,backend;supplier;phase2;subtask,,SUP-01: Replace the Hotelbeds stub with a live sandbox integration
Story,Supplier Live Integrations,SUP-02: Cut Hotelbeds over to production with contract-tier rate limits and nightly content sync,"As a Super Admin, I want have Hotelbeds run against production with the contracted rate-limit tier and a working nightly Content API sync, so that PRD §10.2.1's production sync-frequency and rate-limit requirements are fully live, not just sandbox-verified.

PRD reference(s): §10.2.1 Hotelbeds (Rate limits, Sync frequency)
Module(s)/Screen(s): supplier
Testing tier(s): integration (Testcontainers)
Story points reasoning: Production cutover carries contract-tier configuration and IP whitelisting risk beyond what sandbox testing can fully surface.","- Given Hotelbeds' contracted per-second call cap is approached in production, when the token-bucket limiter engages, then overflow requests queue with backoff rather than being dropped.
- Given the nightly Content API batch job runs in production, when it completes, then static content (images, descriptions, amenities) refreshes without affecting real-time search latency.",8,backend;supplier;phase2,SUP-01,
Sub-task,Supplier Live Integrations,SUP-02 subtask: [EXTEND] Backend: production credential + IP whitelist configuration (via FND-11's Secrets Manager pattern),[EXTEND] Backend: production credential + IP whitelist configuration (via FND-11's Secrets Manager pattern),,,backend;supplier;phase2;subtask,,SUP-02: Cut Hotelbeds over to production with contract-tier rate limits and nightly content sync
Sub-task,Supplier Live Integrations,SUP-02 subtask: [EXTEND] Backend: token-bucket limiter tuned to the contracted production tier,[EXTEND] Backend: token-bucket limiter tuned to the contracted production tier,,,backend;supplier;phase2;subtask,,SUP-02: Cut Hotelbeds over to production with contract-tier rate limits and nightly content sync
Sub-task,Supplier Live Integrations,SUP-02 subtask: [NEW] Backend: production-fixture-shaped integrationTest (per TST-06's CI separation),[NEW] Backend: production-fixture-shaped integrationTest (per TST-06's CI separation),,,backend;supplier;phase2;subtask,,SUP-02: Cut Hotelbeds over to production with contract-tier rate limits and nightly content sync
